date,TB_M3
20010101,
20010102,5.69
20010103,5.53
20010104,5.23
20010105,4.99
20010108,5.06
20010109,5.1
20010110,5.15
20010111,5.17
20010112,5.19
20010115,
20010116,5.22
20010117,5.22
20010118,5.14
20010119,5.1
20010122,5.11
20010123,5.1
20010124,5.14
20010125,5.14
20010126,5.04
20010129,4.99
20010130,4.89
20010131,4.86
20010201,4.87
20010202,4.93
20010205,4.96
20010206,4.94
20010207,4.94
20010208,4.95
20010209,4.93
20010212,4.93
20010213,4.92
20010214,4.94
20010215,4.95
20010216,4.89
20010219,
20010220,4.92
20010221,4.89
20010222,4.88
20010223,4.77
20010226,4.71
20010227,4.7
20010228,4.73
20010301,4.72
20010302,4.72
20010305,4.7
20010306,4.67
20010307,4.57
20010308,4.56
20010309,4.61
20010312,4.54
20010313,4.54
20010314,4.43
20010315,4.41
20010316,4.43
20010319,4.42
20010320,4.38
20010321,4.21
20010322,4.16
20010323,4.19
20010326,4.19
20010327,4.24
20010328,4.23
20010329,4.22
20010330,4.2
20010402,4.12
20010403,4.05
20010404,4
20010405,4.01
20010406,3.85
20010409,3.84
20010410,3.85
20010411,3.98
20010412,3.92
20010413,
20010416,4.05
20010417,4.02
20010418,3.82
20010419,3.78
20010420,3.68
20010423,3.66
20010424,3.71
20010425,3.75
20010426,3.74
20010427,3.76
20010430,3.86
20010501,3.83
20010502,3.8
20010503,3.75
20010504,3.65
20010507,3.65
20010508,3.62
20010509,3.64
20010510,3.66
20010511,3.69
20010514,3.63
20010515,3.55
20010516,3.49
20010517,3.49
20010518,3.53
20010521,3.57
20010522,3.56
20010523,3.56
20010524,3.62
20010525,3.58
20010528,
20010529,3.63
20010530,3.6
20010531,3.55
20010601,3.59
20010604,3.6
20010605,3.55
20010606,3.54
20010607,3.55
20010608,3.56
20010611,3.52
20010612,3.48
20010613,3.47
20010614,3.48
20010615,3.44
20010618,3.44
20010619,3.43
20010620,3.41
20010621,3.43
20010622,3.37
20010625,3.38
20010626,3.38
20010627,3.44
20010628,3.56
20010629,3.57
20010702,3.59
20010703,3.58
20010704,
20010705,3.57
20010706,3.55
20010709,3.57
20010710,3.55
20010711,3.5
20010712,3.52
20010713,3.54
20010716,3.56
20010717,3.53
20010718,3.46
20010719,3.47
20010720,3.45
20010723,3.48
20010724,3.48
20010725,3.48
20010726,3.48
20010727,3.47
20010730,3.49
20010731,3.46
20010801,3.45
20010802,3.45
20010803,3.44
20010806,3.44
20010807,3.44
20010808,3.41
20010809,3.38
20010810,3.36
20010813,3.37
20010814,3.35
20010815,3.35
20010816,3.32
20010817,3.29
20010820,3.34
20010821,3.31
20010822,3.31
20010823,3.33
20010824,3.35
20010827,3.37
20010828,3.33
20010829,3.34
20010830,3.29
20010831,3.3
20010903,
20010904,3.36
20010905,3.33
20010906,3.27
20010907,3.2
20010910,3.19
20010911,
20010912,
20010913,2.68
20010914,2.59
20010917,2.54
20010918,2.43
20010919,2.15
20010920,2.18
20010921,2.21
20010924,2.33
20010925,2.35
20010926,2.33
20010927,2.33
20010928,2.35
20011001,2.32
20011002,2.22
20011003,2.19
20011004,2.17
20011005,2.15
20011008,
20011009,2.18
20011010,2.18
20011011,2.23
20011012,2.21
20011015,2.21
20011016,2.18
20011017,2.18
20011018,2.15
20011019,2.15
20011022,2.18
20011023,2.16
20011024,2.13
20011025,2.1
20011026,2.1
20011029,2.05
20011030,2.01
20011031,2.01
20011101,2.02
20011102,1.97
20011105,1.97
20011106,1.82
20011107,1.77
20011108,1.81
20011109,1.8
20011112,
20011113,1.81
20011114,1.84
20011115,1.88
20011116,1.91
20011119,1.9
20011120,1.91
20011121,1.92
20011122,
20011123,1.91
20011126,1.94
20011127,1.88
20011128,1.84
20011129,1.77
20011130,1.75
20011203,1.75
20011204,1.71
20011205,1.74
20011206,1.72
20011207,1.66
20011210,1.68
20011211,1.63
20011212,1.64
20011213,1.66
20011214,1.7
20011217,1.71
20011218,1.68
20011219,1.66
20011220,1.66
20011221,1.68
20011224,1.69
20011225,
20011226,1.72
20011227,1.71
20011228,1.69
20011231,1.71
20020101,
20020102,1.71
20020103,1.7
20020104,1.69
20020107,1.66
20020108,1.65
20020109,1.65
20020110,1.65
20020111,1.55
20020114,1.55
20020115,1.57
20020116,1.58
20020117,1.61
20020118,1.59
20020121,
20020122,1.66
20020123,1.68
20020124,1.69
20020125,1.69
20020128,1.7
20020129,1.69
20020130,1.72
20020131,1.73
20020201,1.73
20020204,1.74
20020205,1.73
20020206,1.71
20020207,1.7
20020208,1.7
20020211,1.7
20020212,1.72
20020213,1.73
20020214,1.72
20020215,1.71
20020218,
20020219,1.71
20020220,1.73
20020221,1.73
20020222,1.73
20020225,1.74
20020226,1.74
20020227,1.74
20020228,1.76
20020301,1.74
20020304,1.76
20020305,1.77
20020306,1.75
20020307,1.75
20020308,1.77
20020311,1.8
20020312,1.81
20020313,1.79
20020314,1.82
20020315,1.82
20020318,1.83
20020319,1.82
20020320,1.81
20020321,1.8
20020322,1.8
20020325,1.79
20020326,1.78
20020327,1.78
20020328,1.76
20020329,
20020401,1.75
20020402,1.77
20020403,1.76
20020404,1.75
20020405,1.73
20020408,1.72
20020409,1.7
20020410,1.68
20020411,1.69
20020412,1.68
20020415,1.68
20020416,1.71
20020417,1.7
20020418,1.69
20020419,1.7
20020422,1.69
20020423,1.7
20020424,1.69
20020425,1.71
20020426,1.72
20020429,1.74
20020430,1.74
20020501,1.74
20020502,1.74
20020503,1.73
20020506,1.73
20020507,1.73
20020508,1.73
20020509,1.74
20020510,1.74
20020513,1.74
20020514,1.75
20020515,1.73
20020516,1.72
20020517,1.73
20020520,1.72
20020521,1.72
20020522,1.71
20020523,1.71
20020524,1.71
20020527,
20020528,1.73
20020529,1.72
20020530,1.72
20020531,1.71
20020603,1.72
20020604,1.73
20020605,1.72
20020606,1.71
20020607,1.71
20020610,1.72
20020611,1.72
20020612,1.71
20020613,1.69
20020614,1.68
20020617,1.7
20020618,1.7
20020619,1.68
20020620,1.7
20020621,1.69
20020624,1.7
20020625,1.7
20020626,1.67
20020627,1.67
20020628,1.67
20020701,1.68
20020702,1.69
20020703,1.69
20020704,
20020705,1.69
20020708,1.7
20020709,1.69
20020710,1.69
20020711,1.69
20020712,1.68
20020715,1.68
20020716,1.69
20020717,1.69
20020718,1.69
20020719,1.68
20020722,1.68
20020723,1.67
20020724,1.66
20020725,1.67
20020726,1.66
20020729,1.69
20020730,1.69
20020731,1.68
20020801,1.65
20020802,1.6
20020805,1.61
20020806,1.62
20020807,1.56
20020808,1.59
20020809,1.59
20020812,1.64
20020813,1.6
20020814,1.61
20020815,1.59
20020816,1.59
20020819,1.63
20020820,1.59
20020821,1.6
20020822,1.62
20020823,1.62
20020826,1.64
20020827,1.65
20020828,1.64
20020829,1.65
20020830,1.66
20020902,
20020903,1.61
20020904,1.6
20020905,1.58
20020906,1.63
20020909,1.66
20020910,1.65
20020911,1.66
20020912,1.66
20020913,1.66
20020916,1.68
20020917,1.67
20020918,1.65
20020919,1.62
20020920,1.62
20020923,1.62
20020924,1.62
20020925,1.63
20020926,1.62
20020927,1.6
20020930,1.54
20021001,1.56
20021002,1.55
20021003,1.54
20021004,1.58
20021007,1.6
20021008,1.58
20021009,1.54
20021010,1.55
20021011,1.55
20021014,
20021015,1.65
20021016,1.63
20021017,1.64
20021018,1.64
20021021,1.68
20021022,1.66
20021023,1.65
20021024,1.62
20021025,1.61
20021028,1.56
20021029,1.48
20021030,1.48
20021031,1.42
20021101,1.41
20021104,1.41
20021105,1.4
20021106,1.21
20021107,1.2
20021108,1.2
20021111,
20021112,1.2
20021113,1.19
20021114,1.2
20021115,1.2
20021118,1.21
20021119,1.19
20021120,1.2
20021121,1.2
20021122,1.21
20021125,1.22
20021126,1.2
20021127,1.21
20021128,
20021129,1.2
20021202,1.22
20021203,1.21
20021204,1.2
20021205,1.2
20021206,1.19
20021209,1.21
20021210,1.19
20021211,1.19
20021212,1.19
20021213,1.19
20021216,1.21
20021217,1.2
20021218,1.19
20021219,1.19
20021220,1.19
20021223,1.17
20021224,1.17
20021225,
20021226,1.16
20021227,1.14
20021230,1.2
20021231,1.2
20030101,
20030102,1.2
20030103,1.2
20030106,1.19
20030107,1.17
20030108,1.17
20030109,1.18
20030110,1.18
20030113,1.19
20030114,1.17
20030115,1.18
20030116,1.16
20030117,1.16
20030120,
20030121,1.17
20030122,1.15
20030123,1.15
20030124,1.14
20030127,1.15
20030128,1.16
20030129,1.16
20030130,1.16
20030131,1.16
20030203,1.16
20030204,1.14
20030205,1.16
20030206,1.15
20030207,1.15
20030210,1.15
20030211,1.16
20030212,1.16
20030213,1.15
20030214,1.16
20030217,
20030218,1.17
20030219,1.16
20030220,1.17
20030221,1.17
20030224,1.19
20030225,1.18
20030226,1.19
20030227,1.19
20030228,1.18
20030303,1.18
20030304,1.17
20030305,1.16
20030306,1.16
20030307,1.1
20030310,1.06
20030311,1.08
20030312,1.08
20030313,1.1
20030314,1.11
20030317,1.13
20030318,1.12
20030319,1.14
20030320,1.15
20030321,1.16
20030324,1.15
20030325,1.16
20030326,1.16
20030327,1.14
20030328,1.12
20030331,1.12
20030401,1.1
20030402,1.11
20030403,1.09
20030404,1.09
20030407,1.15
20030408,1.13
20030409,1.11
20030410,1.12
20030411,1.15
20030414,1.18
20030415,1.16
20030416,1.15
20030417,1.16
20030418,
20030421,1.16
20030422,1.16
20030423,1.15
20030424,1.13
20030425,1.12
20030428,1.12
20030429,1.13
20030430,1.11
20030501,1.08
20030502,1.1
20030505,1.11
20030506,1.08
20030507,1.09
20030508,1.07
20030509,1.09
20030512,1.08
20030513,1.07
20030514,1.04
20030515,1.04
20030516,1.03
20030519,1.03
20030520,1.02
20030521,1.04
20030522,1.06
20030523,1.06
20030526,
20030527,1.07
20030528,1.1
20030529,1.08
20030530,1.09
20030602,1.12
20030603,1.06
20030604,1.03
20030605,1.02
20030606,1.03
20030609,1.01
20030610,0.95
20030611,0.92
20030612,0.9
20030613,0.84
20030616,0.85
20030617,0.88
20030618,0.87
20030619,0.8
20030620,0.81
20030623,0.83
20030624,0.81
20030625,0.9
20030626,0.89
20030627,0.85
20030630,0.89
20030701,0.87
20030702,0.85
20030703,0.85
20030704,
20030707,0.9
20030708,0.9
20030709,0.88
20030710,0.87
20030711,0.87
20030714,0.89
20030715,0.9
20030716,0.89
20030717,0.88
20030718,0.89
20030721,0.91
20030722,0.91
20030723,0.91
20030724,0.91
20030725,0.91
20030728,0.95
20030729,0.97
20030730,0.96
20030731,0.94
20030801,0.93
20030804,0.95
20030805,0.94
20030806,0.93
20030807,0.93
20030808,0.94
20030811,0.94
20030812,0.93
20030813,0.94
20030814,0.94
20030815,0.93
20030818,0.94
20030819,0.94
20030820,0.94
20030821,0.95
20030822,0.96
20030825,1
20030826,0.99
20030827,0.98
20030828,0.97
20030829,0.96
20030901,
20030902,0.96
20030903,0.95
20030904,0.95
20030905,0.94
20030908,0.95
20030909,0.94
20030910,0.94
20030911,0.94
20030912,0.94
20030915,0.94
20030916,0.91
20030917,0.93
20030918,0.94
20030919,0.93
20030922,0.94
20030923,0.92
20030924,0.93
20030925,0.92
20030926,0.92
20030929,0.95
20030930,0.93
20031001,0.93
20031002,0.92
20031003,0.92
20031006,0.92
20031007,0.9
20031008,0.89
20031009,0.89
20031010,0.9
20031013,
20031014,0.91
20031015,0.91
20031016,0.91
20031017,0.91
20031020,0.93
20031021,0.91
20031022,0.94
20031023,0.94
20031024,0.93
20031027,0.96
20031028,0.94
